iter	MultiClass
0	0.6444007895
1	0.6002920145
2	0.5601893186
3	0.5235773274
4	0.4900349166
5	0.4592114236
6	0.430803352
7	0.4045496708
8	0.3802388287
9	0.3576836289
10	0.3367183347
11	0.3172004829
12	0.2990013151
13	0.2820085347
14	0.2661277148
15	0.2512615935
16	0.2373345094
17	0.2242743629
18	0.2120163052
19	0.2005046413
20	0.1896792923
21	0.1794961161
22	0.16990958
23	0.1608795222
24	0.1523699385
25	0.1443450487
26	0.1367745468
27	0.1296286133
28	0.1228827285
29	0.1165104847
30	0.1104864311
31	0.1048196097
32	0.09943209874
33	0.09433701253
34	0.0895143476
35	0.08494954322
36	0.08062724648
37	0.07653412157
38	0.07265636621
39	0.06898274756
40	0.06550152005
41	0.06220185568
42	0.05907360944
43	0.05610744951
44	0.05329427621
45	0.05062673298
46	0.0480956862
47	0.04569403115
48	0.04341557663
49	0.04125298613
50	0.03920061266
51	0.03725264509
52	0.03540318519
53	0.03364654529
54	0.03197917028
55	0.03039591729
56	0.02889221527
57	0.02746408165
58	0.02610712682
59	0.02481845973
60	0.0235940738
61	0.02243115439
62	0.02132598492
63	0.02027616852
64	0.01927842816
65	0.01833016902
66	0.01742907565
67	0.01657301226
68	0.01575930411
69	0.01498580191
70	0.01425081341
71	0.01355184376
72	0.01288723749
73	0.01225549587
74	0.01165559335
75	0.01108535655
76	0.01054312585
77	0.01002761369
78	0.009537332276
79	0.00907107783
80	0.008628393289
81	0.008207189248
82	0.007806254542
83	0.007425111747
84	0.007062919895
85	0.006718294552
86	0.006391098792
87	0.00607974872
88	0.005783721308
89	0.005502370892
90	0.005234641613
91	0.004979476373
92	0.004736842275
93	0.004506774396
94	0.004287832695
95	0.004079573365
96	0.003881017264
97	0.00369215709
98	0.003512524519
99	0.003341974796
100	0.003179600119
101	0.003025576642
102	0.002879166011
103	0.002739897125
104	0.002607397297
105	0.002481556984
106	0.002361657328
107	0.002247350478
108	0.002138770211
109	0.002035390519
110	0.001936798159
111	0.001843523827
112	0.00175464182
113	0.001669927428
114	0.001589365397
115	0.001512674992
116	0.001439762222
117	0.001370801144
118	0.001305099438
119	0.001242285686
120	0.001182671515
121	0.001126107193
122	0.001072316652
123	0.001021002996
124	0.0009722725985
125	0.0009257488447
126	0.0008815985146
127	0.0008394342772
128	0.0007996312838
129	0.0007616886139
130	0.0007255148044
131	0.0006913339962
132	0.0006586058446
133	0.0006274414442
134	0.0005978785944
135	0.0005696792364
136	0.0005427554596
137	0.0005174059119
138	0.0004930947753
139	0.0004701534624
140	0.0004481588344
141	0.0004271126615
142	0.0004070029919
143	0.0003882341014
144	0.0003703333383
145	0.0003532409927
146	0.0003368066836
147	0.0003213749174
148	0.0003067436081
149	0.0002928115028
150	0.0002794703007
151	0.0002666023183
152	0.0002543891099
153	0.0002428499736
154	0.0002320011627
155	0.0002216684686
156	0.000211780409
157	0.0002022827012
158	0.0001932490111
159	0.0001846778408
160	0.0001765767007
161	0.0001689139283
162	0.0001614180432
163	0.0001544042273
164	0.0001477995021
165	0.0001414572046
166	0.0001353961357
167	0.0001295425385
168	0.000124060547
169	0.0001187115449
170	0.0001137911991
171	0.0001089739845
172	0.000104516276
173	0.0001002641115
174	9.616238239e-05
175	9.230992149e-05
176	8.851456358e-05
177	8.501764193e-05
178	8.168689313e-05
179	7.839869672e-05
180	7.517658384e-05
181	7.229635859e-05
182	6.954978119e-05
183	6.683311254e-05
184	6.421690768e-05
185	6.172803887e-05
186	5.937313067e-05
187	5.721010623e-05
188	5.504949002e-05
189	5.309862197e-05
190	5.120576269e-05
191	4.943415733e-05
192	4.775498795e-05
193	4.602344994e-05
194	4.447738123e-05
195	4.295651895e-05
196	4.147140537e-05
197	4.009041299e-05
198	3.879948921e-05
199	3.757311216e-05
