iter	Logloss
170	0.5685427932
171	0.5684616437
172	0.5683807348
173	0.5683008996
174	0.5682251543
175	0.5681453032
176	0.5680721926
177	0.5680031512
178	0.5679301483
179	0.5678592063
180	0.5677908026
181	0.5677237919
182	0.5676606241
183	0.5675964639
184	0.5675328188
185	0.5674695242
186	0.5673868263
187	0.5673255774
188	0.5672665372
189	0.567208892
190	0.5671508375
191	0.5670936325
192	0.5670197596
193	0.5669634044
194	0.5669118561
195	0.5668594724
196	0.5668075611
197	0.5667580845
198	0.5667111874
199	0.5666640014
200	0.5666163049
201	0.566568044
202	0.5665231826
203	0.5664779754
204	0.5664311028
205	0.5663813851
206	0.5663374219
207	0.5662967773
208	0.5662573184
209	0.5662168658
210	0.566177676
211	0.5661370497
212	0.5660992084
213	0.5660614705
214	0.5660244321
215	0.5659866302
216	0.565950419
217	0.5659120639
218	0.5658781772
219	0.5658399862
220	0.565806531
221	0.5657731036
222	0.5657406648
223	0.5657105047
224	0.5656612878
225	0.5656301976
226	0.5656009978
227	0.5655723722
228	0.5655437101
229	0.5655140198
230	0.5654836415
231	0.5654553275
232	0.5654269099
233	0.5654012865
234	0.5653755058
235	0.5653485514
236	0.565303784
237	0.5652801424
238	0.5652529749
239	0.5652295482
240	0.5652061096
241	0.5651823025
242	0.5651588439
243	0.5651367354
244	0.5651135698
245	0.5650934902
246	0.5650720061
247	0.5650518644
248	0.5650304472
249	0.5650087905
250	0.5649864716
251	0.5649691333
252	0.5649485478
253	0.5649285796
254	0.5649100253
255	0.5648893301
256	0.5648706391
257	0.5648495725
258	0.5648310849
259	0.5648129735
260	0.5647967734
261	0.564777359
262	0.5647615368
263	0.5647427524
264	0.5647249557
265	0.5647090009
266	0.5646884475
267	0.5646745364
268	0.5646578828
269	0.5646409564
270	0.5646258343
271	0.5646121817
272	0.5645960137
273	0.5645775697
274	0.5645644517
275	0.5645521716
276	0.5645396816
277	0.5645254012
278	0.5645127173
279	0.5644981035
280	0.5644837415
281	0.5644697604
282	0.5644404805
283	0.5644285581
284	0.5644164459
285	0.5644016275
286	0.5643901826
287	0.5643776973
288	0.5643689191
289	0.5643579514
290	0.5643464132
291	0.5643353131
292	0.5643251014
293	0.5643115527
294	0.5643009025
295	0.5642904302
296	0.5642793925
297	0.5642710392
298	0.5642601903
299	0.5642507394
300	0.5642411621
301	0.56423151
302	0.5642221676
303	0.5642135944
304	0.5642034803
305	0.5641920309
306	0.5641833583
307	0.5641752891
308	0.5641647815
309	0.5641561097
310	0.5641464905
311	0.5641376528
312	0.5641286714
313	0.56411997
314	0.5641100137
315	0.5641009728
316	0.5640927767
317	0.5640849353
318	0.5640771622
319	0.5640695187
320	0.5640494413
321	0.5640406051
322	0.5640341686
323	0.5640266248
324	0.5640182074
325	0.5640097477
326	0.5640018863
327	0.5639933904
328	0.5639872465
329	0.5639802487
330	0.5639732157
331	0.5639663074
332	0.5639601946
333	0.5639527399
334	0.5639459587
335	0.5639383632
336	0.5639327906
337	0.5639265967
338	0.5639184633
339	0.5639108994
340	0.5639046929
341	0.5638969308
342	0.5638896668
343	0.5638830585
344	0.5638637579
345	0.5638574493
346	0.5638517921
347	0.5638435342
348	0.5638372008
349	0.5638313663
350	0.5638262576
351	0.5638205959
352	0.5638148825
353	0.5638092522
354	0.5638040323
355	0.5637988288
356	0.5637928279
357	0.5637877625
358	0.5637826754
359	0.5637766896
360	0.5637715989
361	0.5637662108
362	0.5637585209
363	0.5637530861
364	0.5637494573
365	0.5637449327
366	0.5637395226
367	0.5637337662
368	0.5637291131
369	0.56372338
370	0.5637180396
371	0.5637123363
372	0.5637076621
373	0.5637014406
374	0.5636954239
375	0.5636900011
376	0.5636853653
377	0.5636806435
378	0.5636747206
379	0.5636701926
380	0.5636657529
381	0.5636622123
382	0.563657529
383	0.5636528385
384	0.5636477765
385	0.5636448235
386	0.5636403694
387	0.5636357662
388	0.5636321497
389	0.5636276009
390	0.5636229209
391	0.5636170783
392	0.5636093637
393	0.5636059919
394	0.563601823
395	0.563597467
396	0.5635922838
397	0.5635892678
398	0.5635848696
399	0.5635796826
400	0.5635755736
401	0.5635699989
402	0.5635665338
403	0.5635637225
404	0.5635613612
405	0.5635574517
406	0.5635520434
407	0.5635474316
408	0.5635323805
409	0.5635287941
410	0.5635257515
411	0.5635217626
412	0.5635184467
413	0.5635148677
414	0.56351103
415	0.5634948085
416	0.5634909952
417	0.5634866666
418	0.5634835235
419	0.5634805389
420	0.563476804
421	0.563473293
422	0.5634698257
423	0.5634672676
424	0.5634626944
425	0.563459124
426	0.5634549248
427	0.5634522135
428	0.5634482334
429	0.5634445849
430	0.5634408776
431	0.5634382467
432	0.5634346136
433	0.5634312961
434	0.5634277601
435	0.5634245137
436	0.5634211189
437	0.5634188433
438	0.5634156214
439	0.5634120759
440	0.5634096751
441	0.5634061694
442	0.5634032757
443	0.5633977957
444	0.563393784
445	0.5633888818
446	0.5633854744
447	0.5633823702
448	0.563378848
449	0.5633762111
450	0.5633710998
451	0.5633554826
452	0.5633517247
453	0.5633491515
454	0.5633467868
455	0.5633433966
456	0.5633404443
457	0.5633381621
458	0.5633343327
459	0.5633313763
460	0.5633282903
461	0.5633262696
462	0.5633230791
463	0.5633207024
464	0.5633167453
465	0.563313895
466	0.5633115564
467	0.5633083989
468	0.563304822
469	0.5633018454
470	0.5632998481
471	0.5632970137
472	0.5632937766
473	0.5632915506
474	0.5632886367
475	0.5632855503
476	0.5632836551
477	0.5632815699
478	0.5632782368
479	0.5632750307
480	0.5632726223
481	0.563270293
482	0.5632686345
483	0.5632651755
484	0.563261921
485	0.5632585418
486	0.5632558796
487	0.56325381
488	0.5632408099
489	0.5632384556
490	0.5632346409
491	0.5632307007
492	0.5632284337
493	0.5632255204
494	0.5632223147
495	0.563219796
496	0.5632176252
497	0.5632153826
498	0.5632115695
499	0.5632086704
500	0.5632067521
501	0.563202086
502	0.5631999544
503	0.5631968553
504	0.5631924812
505	0.5631899137
506	0.5631868902
507	0.5631839034
508	0.5631802238
509	0.5631774444
510	0.5631727707
511	0.563168702
512	0.563165396
513	0.563163572
514	0.5631612838
515	0.5631592707
516	0.5631556152
517	0.5631537519
518	0.5631508248
519	0.5631474229
520	0.5631458986
521	0.5631440468
522	0.5631419979
523	0.5631395341
524	0.5631381052
525	0.563132436
526	0.5631210868
527	0.5631174085
528	0.5631148096
529	0.5631125827
530	0.5631099762
531	0.5631088317
532	0.563106581
533	0.5631040147
534	0.5631014653
535	0.5630988494
536	0.5630954425
537	0.5630938475
538	0.5630808017
539	0.5630791271
540	0.563076727
541	0.5630741774
542	0.5630702335
543	0.5630675881
544	0.5630649042
545	0.5630625913
546	0.5630602606
547	0.5630572786
548	0.5630545069
549	0.5630521217
550	0.5630498385
551	0.5630468128
552	0.5630442534
553	0.5630331815
554	0.5630302425
555	0.5630272264
556	0.5630250475
557	0.5630231905
558	0.5630210035
559	0.5630194404
560	0.5630168414
561	0.5630145433
562	0.5630115988
563	0.5630097984
564	0.5630072145
565	0.5630047816
566	0.5630019457
567	0.5630006582
568	0.5629984247
569	0.5629960953
570	0.5629943658
571	0.562991847
572	0.5629900247
573	0.5629884691
574	0.5629859349
575	0.5629835469
576	0.5629816754
577	0.5629789524
578	0.5629773108
579	0.5629747767
580	0.562973329
581	0.5629718195
582	0.5629700198
583	0.5629688751
584	0.5629638067
585	0.562961374
586	0.5629589268
587	0.5629570537
588	0.5629555214
589	0.5629538234
590	0.5629520231
591	0.5629502839
592	0.5629488314
593	0.5629475478
594	0.5629455112
595	0.5629436791
596	0.5629419791
597	0.5629392169
598	0.5629365793
599	0.5629347938
600	0.5629329811
601	0.5629296651
602	0.5629281182
603	0.5629256549
604	0.5629240908
605	0.5629226546
606	0.5629195765
607	0.5629183449
608	0.5629158104
609	0.5629134677
610	0.5629113345
611	0.5629089735
612	0.5629080966
613	0.5629058773
614	0.5629033226
615	0.5629007804
616	0.5628991932
617	0.5628978188
618	0.5628963981
619	0.5628863038
620	0.5628842037
621	0.5628815585
622	0.5628802949
623	0.5628778229
624	0.5628757465
625	0.5628738532
626	0.5628721472
627	0.5628701651
628	0.5628690044
629	0.562867204
630	0.5628653181
631	0.5628629016
632	0.5628615991
633	0.5628590173
634	0.562856609
635	0.5628542404
636	0.5628522588
637	0.5628495279
638	0.5628470577
639	0.5628451393
640	0.5628439642
641	0.5628418123
642	0.5628395311
643	0.5628375029
644	0.5628354737
645	0.5628334059
646	0.5628321893
647	0.5628302872
648	0.5628273188
649	0.5628256849
650	0.5628229672
651	0.5628208431
652	0.5628187332
653	0.5628175886
654	0.5628167194
655	0.5628134901
656	0.5628118321
657	0.562809787
658	0.5628073574
659	0.5628051149
660	0.5628036702
661	0.5628020821
662	0.5628007909
663	0.5627983982
664	0.5627969279
665	0.562795143
666	0.5627937396
667	0.5627912844
668	0.562788094
669	0.5627859548
670	0.5627829943
671	0.5627810737
672	0.5627789331
673	0.5627770402
674	0.5627750672
675	0.5627727171
676	0.5627714062
677	0.5627692193
678	0.5627671433
679	0.5627658541
680	0.5627643231
681	0.5627629489
682	0.562760692
683	0.5627582372
684	0.5627549496
685	0.5627532793
686	0.5627519523
687	0.5627508781
688	0.5627486352
689	0.5627460758
690	0.5627441567
691	0.5627427734
692	0.5627412179
693	0.5627383283
694	0.5627350417
695	0.5627330924
696	0.5627313893
697	0.5627294631
698	0.5627280114
699	0.5627263297
700	0.562724917
701	0.5627233911
702	0.5627216403
703	0.5627198803
704	0.5627180879
705	0.5627165966
706	0.5627149623
707	0.5627133671
708	0.5627116459
709	0.5627110304
710	0.5627095619
711	0.5627073006
712	0.5627057529
713	0.5627045763
714	0.5627027683
715	0.5626996735
716	0.5626982442
717	0.5626971946
718	0.5626963185
719	0.562694463
720	0.5626925197
721	0.5626895358
722	0.5626885725
723	0.5626868194
724	0.5626854056
725	0.562684498
726	0.5626826827
727	0.5626814479
728	0.5626799075
729	0.5626767101
730	0.5626753936
731	0.5626739325
732	0.5626724307
733	0.5626699681
734	0.5626689337
735	0.5626671268
736	0.562664395
737	0.5626630686
738	0.562659137
739	0.5626572975
740	0.5626559864
741	0.5626546443
742	0.5626521952
743	0.5626509948
744	0.5626481919
745	0.5626464791
746	0.5626443562
747	0.5626433939
748	0.5626417517
749	0.562640216
750	0.5626378637
751	0.5626360006
752	0.562633387
753	0.5626315083
754	0.5626280744
755	0.5626266762
756	0.5626246
757	0.5626224924
758	0.562620653
759	0.5626114529
760	0.5626106154
761	0.5626088073
762	0.5626069897
763	0.5626054409
764	0.5626012964
765	0.5625997495
766	0.5625987952
767	0.5625973265
768	0.5625962299
769	0.5625941225
770	0.5625916664
771	0.5625898746
772	0.5625886114
773	0.5625873405
774	0.5625852093
775	0.5625836597
776	0.5625821678
777	0.5625791835
778	0.562578087
779	0.5625763652
780	0.56257517
781	0.562573891
782	0.5625728409
783	0.5625718225
784	0.5625691224
785	0.5625679544
786	0.5625667146
787	0.5625648357
788	0.5625627039
789	0.562560831
790	0.5625588403
791	0.5625553891
792	0.5625540004
793	0.5625523505
794	0.5625510219
795	0.5625494985
796	0.5625481551
797	0.5625458936
798	0.5625445268
799	0.5625422267
800	0.5625410027
801	0.5625323549
802	0.562531652
803	0.5625303738
804	0.5625296154
805	0.5625284237
806	0.5625266314
807	0.5625247206
808	0.5625232835
809	0.5625214145
810	0.5625194964
811	0.5625177096
812	0.562516319
813	0.5625142351
814	0.5625113612
815	0.5625097022
816	0.562509055
817	0.5625068443
818	0.5625055181
819	0.5625036334
820	0.5625023772
821	0.5625012399
822	0.5624996224
823	0.5624988244
824	0.5624977419
825	0.56249614
826	0.5624936616
827	0.5624917433
828	0.5624904872
829	0.5624885216
830	0.5624874005
831	0.5624804897
832	0.5624790618
833	0.5624768194
834	0.5624751063
835	0.5624736772
836	0.562472612
837	0.5624712862
838	0.5624703544
839	0.5624689251
840	0.5624672122
841	0.5624660979
842	0.5624642032
843	0.5624633739
844	0.5624621433
845	0.562460683
846	0.5624588675
847	0.5624567127
848	0.5624557334
849	0.5624547858
850	0.5624533319
851	0.5624514756
852	0.5624486013
853	0.5624470855
854	0.5624451984
855	0.5624440459
856	0.5624424037
857	0.5624352644
858	0.5624339917
859	0.5624323875
860	0.5624306408
861	0.5624299699
862	0.5624282352
863	0.5624262538
864	0.5624249827
865	0.5624231573
866	0.562420821
867	0.5624174252
868	0.5624163604
869	0.562414995
870	0.5624134474
871	0.5624124768
872	0.5624106057
873	0.5624086322
874	0.5624065962
875	0.5624050085
876	0.5624039996
877	0.5624019304
878	0.5623995854
879	0.5623976828
880	0.5623899198
881	0.5623887198
882	0.5623877731
883	0.5623864857
884	0.5623855225
885	0.5623841569
886	0.5623829789
887	0.5623818744
888	0.5623806263
889	0.5623790785
890	0.5623777601
891	0.5623762837
892	0.5623744671
893	0.5623728734
894	0.5623716734
895	0.56237045
896	0.5623691945
897	0.5623681518
898	0.5623664326
899	0.5623651381
900	0.5623629433
901	0.5623616563
902	0.5623598243
903	0.5623586481
904	0.5623575713
905	0.562356704
906	0.5623549751
907	0.5623538379
908	0.5623522275
909	0.5623502221
910	0.5623492191
911	0.5623463136
912	0.5623446239
913	0.5623429897
914	0.5623404165
915	0.5623385217
916	0.56233744
917	0.5623365559
918	0.5623356876
919	0.5623339662
920	0.5623317967
921	0.5623308109
922	0.5623291844
923	0.5623276999
924	0.5623263894
925	0.5623254105
926	0.5623242103
927	0.5623234681
928	0.5623211709
929	0.5623194342
930	0.5623174216
931	0.5623153072
932	0.5623146758
933	0.5623138552
934	0.5623128354
935	0.5623112803
936	0.5623105761
937	0.5623091164
938	0.5623077099
939	0.5623060273
940	0.5623048189
941	0.5623036424
942	0.5623026719
943	0.5623006985
944	0.562299427
945	0.5622972326
946	0.5622961257
947	0.5622948159
948	0.5622936943
949	0.5622919954
950	0.5622895798
951	0.5622884193
952	0.5622872362
953	0.5622852304
954	0.5622846775
955	0.5622839501
956	0.5622826317
957	0.5622811238
958	0.5622799
959	0.5622785488
960	0.562278004
961	0.562276954
962	0.5622756822
963	0.5622744172
964	0.5622724986
965	0.5622713961
966	0.5622698156
967	0.562269058
968	0.5622672069
969	0.5622655886
970	0.5622647994
971	0.5622633697
972	0.5622618461
973	0.5622604403
974	0.562258941
975	0.5622565945
976	0.5622543366
977	0.5622528919
978	0.5622500815
979	0.5622486052
980	0.5622472302
981	0.5622459827
982	0.5622447355
983	0.5622433845
984	0.562241703
985	0.5622405589
986	0.5622388056
987	0.5622366871
988	0.5622351983
989	0.5622337696
990	0.5622323956
991	0.5622300114
992	0.5622278717
993	0.5622268851
994	0.5622260713
995	0.5622243724
996	0.5622226935
997	0.5622213909
998	0.5622205295
999	0.5622191005
